"objects","ports","Emag","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
16.697,0,0.061772,1,0.01702,-0.11923,0.071374,0.16038
16.697,0,0.061772,1,0.017088,-0.1193,0.071371,0.16038
16.697,0,0.061772,1,0.017156,-0.11936,0.071369,0.16038
16.697,0,0.061772,1,0.017224,-0.11943,0.071366,0.16038
16.697,0,0.061772,1,0.017292,-0.1195,0.071363,0.16038
16.697,0,0.061772,1,0.017361,-0.11957,0.071361,0.16038
16.697,0,0.061772,1,0.017429,-0.11964,0.071358,0.16037
16.697,0,0.061772,1,0.017497,-0.1197,0.071356,0.16037
16.697,0,0.061772,1,0.017565,-0.11977,0.071353,0.16037
16.697,0,0.061772,1,0.017633,-0.11984,0.071351,0.16037
16.697,0,0.061772,1,0.017701,-0.11991,0.071348,0.16037
16.697,0,0.061772,1,0.017769,-0.11998,0.071346,0.16037
16.697,0,0.062755,1,0.017837,-0.12004,0.071343,0.16036
16.697,0,0.062755,1,0.017905,-0.12011,0.071341,0.16036
16.697,0,0.062755,1,0.017973,-0.12018,0.071338,0.16036
16.697,0,0.062755,1,0.018041,-0.12025,0.071335,0.16036
16.697,0,0.062755,1,0.018109,-0.12032,0.071333,0.16036
16.697,0,0.062755,1,0.018178,-0.12038,0.07133,0.16036
16.697,0,0.062755,1,0.018246,-0.12045,0.071328,0.16036
16.697,0,0.062755,1,0.018314,-0.12052,0.071325,0.16035
16.697,0,0.062755,1,0.018382,-0.12059,0.071323,0.16035
16.697,0,0.062755,1,0.01845,-0.12066,0.07132,0.16035
16.697,0,0.062755,1,0.018518,-0.12072,0.071318,0.16035
16.697,0,0.062755,1,0.018586,-0.12079,0.071315,0.16035
16.697,0,0.062755,1,0.018654,-0.12086,0.071313,0.16035
16.697,0,0.062755,1,0.018722,-0.12093,0.07131,0.16034
16.697,0,0.062755,1,0.01879,-0.121,0.071308,0.16034
16.697,0,0.062755,1,0.018858,-0.12106,0.071305,0.16034
16.697,0,0.062755,1,0.018926,-0.12113,0.071302,0.16034
16.697,0,0.062755,1,0.018995,-0.1212,0.0713,0.16034
16.697,0,0.062755,1,0.019063,-0.12127,0.071297,0.16034
16.697,0,0.062755,1,0.019131,-0.12134,0.071295,0.16033
16.697,0,0.062755,1,0.019199,-0.1214,0.071292,0.16033
16.697,0,0.062755,1,0.019267,-0.12147,0.07129,0.16033
16.697,0,0.062755,1,0.019335,-0.12154,0.071287,0.16033
16.697,0,0.062755,1,0.019403,-0.12161,0.071285,0.16033
16.697,0,0.062755,1,0.019471,-0.12168,0.071282,0.16033
16.697,0,0.062755,1,0.019539,-0.12174,0.07128,0.16032
16.697,0,0.062755,1,0.019607,-0.12181,0.071277,0.16032
16.697,0,0.062755,1,0.019675,-0.12188,0.071274,0.16032
16.697,0,0.062755,1,0.019743,-0.12195,0.071272,0.16032
16.697,0,0.06174,1,0.019811,-0.12202,0.071269,0.16032
16.697,0,0.06174,1,0.01988,-0.12208,0.071267,0.16032
16.697,0,0.06174,1,0.019948,-0.12215,0.071264,0.16031
16.697,0,0.06174,1,0.020016,-0.12222,0.071262,0.16031
16.697,0,0.06174,1,0.020084,-0.12229,0.071259,0.16031
16.697,0,0.06174,1,0.020152,-0.12236,0.071257,0.16031
16.697,0,0.06174,1,0.02022,-0.12242,0.071254,0.16031
16.697,0,0.06174,1,0.020288,-0.12249,0.071252,0.16031
16.697,0,0.06174,1,0.020356,-0.12256,0.071249,0.16031
16.697,0,0.06174,1,0.020424,-0.12263,0.071247,0.1603
16.697,0,0.06174,1,0.020492,-0.1227,0.071244,0.1603
16.697,0,0.06174,1,0.02056,-0.12276,0.071241,0.1603
16.697,0,0.06174,1,0.020628,-0.12283,0.071239,0.1603
16.697,0,0.06174,1,0.020697,-0.1229,0.071236,0.1603
16.697,0,0.06174,1,0.020765,-0.12297,0.071234,0.1603
16.697,0,0.06174,1,0.020833,-0.12304,0.071231,0.16029
16.697,0,0.06174,1,0.020901,-0.1231,0.071229,0.16029
16.697,0,0.06174,1,0.020969,-0.12317,0.071226,0.16029
16.697,0,0.06174,1,0.021037,-0.12324,0.071224,0.16029
16.697,0,0.06174,1,0.021105,-0.12331,0.071221,0.16029
16.697,0,0.06174,1,0.021173,-0.12338,0.071219,0.16029
16.697,0,0.06174,1,0.021241,-0.12344,0.071216,0.16028
16.697,0,0.06174,1,0.021309,-0.12351,0.071213,0.16028
16.697,0,0.06174,1,0.021377,-0.12358,0.071211,0.16028
16.697,0,0.06174,1,0.021445,-0.12365,0.071208,0.16028
16.697,0,0.06174,1,0.021514,-0.12372,0.071206,0.16028
16.697,0,0.06174,1,0.021582,-0.12378,0.071203,0.16028
16.697,0,0.06174,1,0.02165,-0.12385,0.071201,0.16027
16.697,0,0.06174,1,0.021718,-0.12392,0.071198,0.16027
16.697,0,0.06174,1,0.021786,-0.12399,0.071196,0.16027
16.697,0,0.058529,1,0.021854,-0.12406,0.071193,0.16027
16.697,0,0.058529,1,0.021922,-0.12412,0.071191,0.16027
16.697,0,0.058529,1,0.02199,-0.12419,0.071188,0.16027
16.697,0,0.058529,1,0.022058,-0.12426,0.071186,0.16026
16.697,0,0.058529,1,0.022126,-0.12433,0.071183,0.16026
16.697,0,0.058529,1,0.022194,-0.1244,0.07118,0.16026
16.697,0,0.058529,1,0.022262,-0.12447,0.071178,0.16026
16.697,0,0.058529,1,0.02233,-0.12453,0.071175,0.16026
16.697,0,0.058529,1,0.022399,-0.1246,0.071173,0.16026
16.697,0,0.058529,1,0.022467,-0.12467,0.07117,0.16026
16.697,0,0.058529,1,0.022535,-0.12474,0.071168,0.16025
16.697,0,0.058529,1,0.022603,-0.12481,0.071165,0.16025
16.697,0,0.058529,1,0.022671,-0.12487,0.071163,0.16025
16.697,0,0.058529,1,0.022739,-0.12494,0.07116,0.16025
16.697,0,0.058529,1,0.022807,-0.12501,0.071158,0.16025
16.697,0,0.058529,1,0.022875,-0.12508,0.071155,0.16025
16.697,0,0.058529,1,0.022943,-0.12515,0.071152,0.16024
16.697,0,0.058529,1,0.023011,-0.12521,0.07115,0.16024
16.697,0,0.058529,1,0.023079,-0.12528,0.071147,0.16024
16.697,0,0.058529,1,0.023147,-0.12535,0.071145,0.16024
16.697,0,0.058529,1,0.023216,-0.12542,0.071142,0.16024
16.697,0,0.058529,1,0.023284,-0.12549,0.07114,0.16024
16.697,0,0.058529,1,0.023352,-0.12555,0.071137,0.16023
16.697,0,0.058529,1,0.02342,-0.12562,0.071135,0.16023
16.697,0,0.058529,1,0.023488,-0.12569,0.071132,0.16023
16.697,0,0.058529,1,0.023556,-0.12576,0.07113,0.16023
16.697,0,0.058529,1,0.023624,-0.12583,0.071127,0.16023
16.697,0,0.058529,1,0.023692,-0.12589,0.071125,0.16023
16.697,0,0.058529,1,0.02376,-0.12596,0.071122,0.16022
16.697,0,0.054819,1,0.023828,-0.12603,0.071119,0.16022
16.697,0,0.054819,1,0.023896,-0.1261,0.071117,0.16022
16.697,0,0.054819,1,0.023964,-0.12617,0.071114,0.16022
16.697,0,0.054819,1,0.024032,-0.12623,0.071112,0.16022
16.697,0,0.054819,1,0.024101,-0.1263,0.071109,0.16022
16.697,0,0.054819,1,0.024169,-0.12637,0.071107,0.16022
16.697,0,0.054819,1,0.024237,-0.12644,0.071104,0.16021
16.697,0,0.054819,1,0.024305,-0.12651,0.071102,0.16021
16.697,0,0.054819,1,0.024373,-0.12657,0.071099,0.16021
16.697,0,0.054819,1,0.024441,-0.12664,0.071097,0.16021
16.697,0,0.054819,1,0.024509,-0.12671,0.071094,0.16021
16.697,0,0.054819,1,0.024577,-0.12678,0.071091,0.16021
16.697,0,0.054819,1,0.024645,-0.12685,0.071089,0.1602
